name,gender,age,class,embarked,country,ticketno,fare,survived,pclass,crew
"De Mulder, Mr. Theodoor",male,30,3rd,S,Belgium,345774,9.1,1,3,
"Denbuoy, Mr. Albert Joseph",male,25,2nd,S,Channel Islands,31029,31.1,0,2,
"Denkoff, Mr. Mitto",male,30,3rd,S,,349225,7.1711,0,3,
"Dennis, Mr. Samuel",male,22,3rd,S,England,21172,7.05,0,3,
"Dennis, Mr. William",male,26,3rd,S,England,21175,7.05,0,3,
"De Pelsmaeker, Mr. Alfons",male,16,3rd,S,Belgium,345778,9.1,0,3,
"Devaney, Miss. Margaret Delia",female,19,3rd,Q,Ireland,330958,7.1707,1,3,
"Dibden, Mr. William",male,18,2nd,S,England,14879,73.1,0,2,
"Dick, Mr. Albert Adrian",male,31,1st,S,Canada,17474,57,1,1,
"Dick, Mrs. Vera",female,17,1st,S,United States,17474,57,1,1,
"Dika, Mr. Mirko",male,17,3rd,S,Croatia (Modern),349232,7.1711,0,3,
"Dimic, Mr. Jovan",male,42,3rd,S,Hungary,315088,8.1303,0,3,
"Dintcheff, Mr. Valtcho",male,43,3rd,S,,349226,7.1711,0,3,
"Dodge, Dr. Washington",male,52,1st,S,United States,33638,81.1702,1,1,
"Dodge, Master. Washington",male,4,1st,S,United States,33638,81.1702,1,1,
"Dodge, Mrs. Ruth",female,34,1st,S,United States,33638,81.1702,1,1,
"Doling, Miss. Elsie",female,18,2nd,S,England,231919,23,1,2,
"Doling, Mrs. Ada Julia Elizabeth",female,34,2nd,S,England,231919,23,1,2,
"Donohoe, Miss. Bridget",female,21,3rd,Q,Ireland,364856,7.15,0,3,
"Dooly, Mr. Patrick",male,37,3rd,Q,Ireland,370376,7.15,0,3,
"Dorking, Mr. Edward Arthur",male,18,3rd,S,England,10482,8.01,1,3,
"Dougherty, Mr. William John",male,22,3rd,Q,Ireland,330877,8.0902,0,3,
"Douglas, Mrs. Mahala",female,48,1st,C,United States,17761,106.0806,1,1,
"Douglas, Mrs. Mary Hélène",female,27,1st,C,Canada,17558,247.1005,1,1,
"Douglas, Mr. Walter Donald",male,50,1st,C,United States,17761,106.0806,0,1,
"Douton, Mr. William Joseph",male,55,2nd,S,England,28403,26,0,2,
"Dowdell, Miss. Elizabeth",female,31,3rd,S,United States,364516,12.0906,1,3,
"Doyle, Miss. Elizabeth",female,28,3rd,Q,Ireland,368702,7.15,0,3,
"Drazenovic, Mr. Jozef",male,33,3rd,C,Croatia (Modern),349241,7.1711,0,3,
"Drew, Master. Marshall Brines",male,8,2nd,S,United States,28220,32.1,1,2,
"Drew, Mr. James Vivian",male,42,2nd,S,England,28220,32.1,0,2,
"Drew, Mrs. Maria Louisa Thorne",female,34,2nd,S,United States,28220,32.1,1,2,
"Driscoll, Miss. Bridget",female,27,3rd,Q,Ireland,14311,7.15,1,3,
"Dropkin, Miss. Jennie",female,24,3rd,S,England,392083,8.01,1,3,
"Duff Gordon, Lucy Christiana, Lady",female,48,1st,C,England,17485,56.1807,1,1,
"Duff Gordon, Sir. Cosmo Edmund",male,49,1st,C,England,11755,39.12,1,1,
"Dulles, Mr. William Crothers",male,39,1st,C,United States,17580,29.14,0,1,
"Duquemin, Mr. Joseph Pierre",male,24,3rd,S,Channel Islands,752,7.11,1,3,
"Durán i Moné, Sra. Asuncion",female,27,2nd,C,Spain,2149,13.1702,1,2,
"Durán i Moné, Sra. Florentina",female,30,2nd,C,Spain,2148,13.1702,1,2,
"Dwan, Mr. Frank",male,65,3rd,Q,Ireland,336439,7.15,0,3,
"Dyker, Mr. Adolf Fredrik",male,23,3rd,S,United States,347072,13.18,0,3,
"Dyker, Mrs. Anna Elisabeth Judith",female,22,3rd,S,United States,347072,13.18,1,3,
"Earnshaw, Mrs. Olive",female,23,1st,C,United States,11767,83.0302,1,1,
"Edvardsson, Mr. Gustaf Hjalmar",male,18,3rd,S,Sweden,349912,7.1506,0,3,
"Eitemiller, Mr. George Floyd",male,25,2nd,S,United States,29751,13,0,2,
"Eklund, Mr. Hans Linus",male,16,3rd,S,Sweden,347074,7.1506,0,3,
"Ekström, Mr. Amandus",male,45,3rd,S,Sweden,347061,6.1906,0,3,
"Elias, Mr. Dibo",male,29,3rd,C,,2674,7.0406,0,3,
"Elias, Mr. Joseph jr.",male,15,3rd,C,Lebanon,2690,7.0407,0,3,
"Elias Nasrallah, Mr. Tannous",male,22,3rd,C,Lebanon,2695,7.0407,0,3,
"Elsbury, Mr. William James",male,48,3rd,S,England,3902,7.05,0,3,
"Emanuel, Miss. Virginia Ethel",female,5,3rd,S,United States,364516,12.0906,1,3,
"Enander, Mr. Ingvar",male,21,2nd,S,Sweden,236854,13,0,2,
"Endres, Miss. Caroline Louise",female,39,1st,C,United States,17757,247.1006,1,1,
"Estanislau, Mr. Manuel Gonçalves",male,37,3rd,S,,3101306,7.01,0,3,
"Eustis, Miss. Elizabeth Mussey",female,54,1st,C,United States,36947,78.0504,1,1,
"Evans, Miss. Edith Corse",female,36,1st,C,United States,17531,31.1307,0,1,
"Everett, Mr. Thomas James",male,38,3rd,S,England,6212,15.02,0,3,
"Fahlstrøm, Mr. Arne Joma",male,18,2nd,S,Norway,236171,13,0,2,
"Fardon, Mr. Charles Richard",male,46,3rd,S,England,3101314,7.05,0,3,
"Farrell, Mr. James",male,26,3rd,Q,Ireland,367232,7.15,0,3,
"Farthing, Mr. John",male,49,1st,S,England,17483,221.1507,0,1,
"Faunthorpe, Mr. Harry Bartram",male,32,2nd,S,England,2926,26,0,2,
"Fillbrook, Mr. Joseph Charles",male,18,2nd,S,England,15185,10.1,0,2,
"Finoli, Mr. Luigi",male,34,3rd,S,,3101308,7.01,1,3,
"Fischer, Mr. Eberhard Thelander",male,18,3rd,S,Sweden,350036,7.1511,0,3,
"Flegenheim, Mrs. Antoinette",female,48,1st,C,United States,17598,31.1308,1,1,
"Fleming, Miss. Honor",female,22,3rd,Q,Ireland,364859,7.15,0,3,
"Fleming, Miss. Margaret",female,42,1st,C,United States,17421,110.1708,1,1,
"Flynn, Mr. James",male,28,3rd,Q,Ireland,364851,7.15,0,3,
"Flynn, Mr. John",male,48,3rd,Q,Ireland,368323,6.19,0,3,
"Flynn, Mr. John Irwin",male,36,1st,S,Canada,14474,26.0509,1,1,
"Foley, Mr. Joseph",male,19,3rd,Q,Ireland,330910,7.1707,0,3,
"Foley, Mr. William",male,20,3rd,Q,Ireland,365235,7.15,0,3,
"Foo, Mr. Choong",male,32,3rd,S,,1601,56.0911,1,3,
"Ford, Miss. Dollina Margaret",female,20,3rd,S,England,6608,34.0706,0,3,
"Ford, Miss. Robina Maggie",female,7,3rd,S,England,6608,34.0706,0,3,
"Ford, Mr. Arthur",male,23,3rd,S,England,1478,8.01,0,3,
"Ford, Mr. Edward Watson",male,18,3rd,S,England,6608,34.0706,0,3,
"Ford, Mrs. Margaret Ann Watson",female,54,3rd,S,Scotland,6608,34.0706,0,3,
"Ford, Mr. William Neal Thomas",male,14,3rd,S,England,6608,34.0706,0,3,
"Foreman, Mr. Benjamin Laventall",male,30,1st,S,United States,113051,27.15,0,1,
"Fortune, Miss. Alice Elizabeth",female,24,1st,S,Canada,19950,263,1,1,
"Fortune, Miss. Ethel Flora",female,28,1st,S,Canada,19950,263,1,1,
"Fortune, Miss. Mabel Helen",female,23,1st,S,Canada,19950,263,1,1,
"Fortune, Mr. Charles Alexander",male,19,1st,S,Canada,19950,263,0,1,
"Fortune, Mr. Mark",male,64,1st,S,Canada,19950,263,0,1,
"Fortune, Mrs. Mary",female,60,1st,S,Canada,19950,263,1,1,
"Fox, Mr. Patrick",male,28,3rd,Q,Ireland,368573,7.15,0,3,
"Fox, Mr. Stanley Harrington",male,38,2nd,S,United States,229236,13,0,2,
"Francatelli, Miss. Laura Mabel",female,32,1st,C,England,17485,56.1807,1,1,
"Franklin, Mr. Thomas Parnham",male,37,1st,S,England,113778,26.11,0,1,
"Frauenthal, Dr. Henry William",male,49,1st,S,United States,17611,133.13,1,1,
"Frauenthal, Mr. Isaac Gerald",male,43,1st,C,United States,17765,27.1405,1,1,
"Frauenthal, Mrs. Clara",female,42,1st,S,United States,17611,133.13,1,1,
"Frölicher, Miss. Hedwig Margaritha",female,22,1st,C,Switzerland,13568,49.1,1,1,
"Frölicher-Stehli, Mr. Maximilian Josef",male,60,1st,C,Switzerland,13567,79.04,1,1,
"Frölicher-Stehli, Mrs. Margaretha Emerentia",female,48,1st,C,Switzerland,13567,79.04,1,1,
"Frost, Mr. Anthony Wood",male,39,2nd,B,England,239854,,0,2,
"Fry, Mr. Richard",male,39,1st,S,England,112058,,0,1,
"Funk, Miss. Annie Clemmer",female,38,2nd,S,India,237671,13,0,2,
"Futrelle, Mr. Jacques Heath",male,37,1st,S,England,113803,53.02,0,1,
"Futrelle, Mrs. Lily May",female,35,1st,S,England,113803,53.02,1,1,
"Fynney, Mr. Joseph J.",male,36,2nd,S,England,239865,26,0,2,
"Gale, Mr. Harry",male,38,2nd,S,England,28664,21,0,2,
"Gale, Mr. Shadrach",male,33,2nd,S,England,28664,21,0,2,
"Gallagher, Mr. Martin",male,29,3rd,Q,Ireland,36864,7.141,0,3,
"Garfirth, Mr. John",male,23,3rd,S,England,358585,14.1,0,3,
"Garside, Miss. Ethel",female,39,2nd,S,England,243880,13,1,2,
"Gaskell, Mr. William Alfred",male,19,2nd,S,England,239865,26,0,2,
"Gavey, Mr. Laurence",male,26,2nd,S,Channel Islands,31028,10.1,0,2,
"Gee, Mr. Arthur H.",male,47,1st,S,England,111320,38.1,0,1,
"George/Joseph, Mrs. Shawneene",female,38,3rd,C,United States,2688,7.0407,1,3,
"Gerios Thamah, Mr. Assaf",male,21,3rd,C,Lebanon,2692,7.0406,0,3,
"Gheorgheff, Mr. Stanio",male,,3rd,C,Bulgaria,349254,7.1711,0,3,
"Gibson, Miss. Dorothy Winifred",female,22,1st,C,United States,112378,59.08,1,1,
"Gibson, Mrs. Pauline Caroline",female,44,1st,C,United States,112378,59.08,1,1,
"Gieger, Miss. Amalie",female,35,1st,S,,113503,211.1,1,1,
"Giglio, Mr. Victor Gaitan Andrea",male,23,1st,C,,17593,79.04,0,1,
"Gilbert, Mr. William",male,47,2nd,S,England,30769,10.1,0,2,
"Giles, Mr. Edgar",male,19,2nd,S,England,28133,11.1,0,2,
"Giles, Mr. Frederick Edward",male,21,2nd,S,England,28134,11.1,0,2,
"Giles, Mr. Ralph",male,24,2nd,S,England,248726,13.1,0,2,
"Gilinski, Mr. Eliezer",male,23,3rd,S,Wales,14973,8.01,0,3,
"Gillespie, Mr. William Henry",male,31,2nd,S,Ireland,12233,13,0,2,
"Gill, Mr. John",male,24,2nd,S,England,233866,13,0,2,
"Gilnagh, Miss. Katherine",female,17,3rd,Q,Ireland,35851,7.1408,1,3,
"Givard, Mr. Hans Kristensen",male,30,2nd,S,Argentina,250646,13,0,2,
"Glynn, Miss. Mary Agatha",female,18,3rd,Q,Ireland,335677,7.15,1,3,
"Goldenberg, Mr. Samuel L.",male,47,1st,C,United States,17453,89.0201,1,1,
"Goldenberg, Mrs. Nella",female,40,1st,C,United States,17453,89.0201,1,1,
"Goldschmidt, Mr. George B.",male,71,1st,C,United States,17754,34.1301,0,1,
"Goldsmith, Master. Frank John William",male,9,3rd,S,England,363291,20.1006,1,3,
"Goldsmith, Mr. Frank John",male,33,3rd,S,England,363291,20.1006,0,3,
"Goldsmith, Mr. Nathan",male,41,3rd,S,,3101263,7.17,0,3,
"Goldsmith, Mrs. Emily Alice",female,31,3rd,S,England,363291,20.1006,1,3,
"Goodwin, Master. Harold Victor",male,9,3rd,S,England,2144,46.18,0,3,
"Goodwin, Master. Sidney Leslie",male,1,3rd,S,England,2144,46.18,0,3,
"Goodwin, Master. William Frederick",male,11,3rd,S,England,2144,46.18,0,3,
"Goodwin, Miss. Jessie Allis",female,10,3rd,S,England,2144,46.18,0,3,
"Goodwin, Miss. Lillian Amy",female,16,3rd,S,England,2144,46.18,0,3,
"Goodwin, Mr. Charles Edward",male,14,3rd,S,England,2144,46.18,0,3,
"Goodwin, Mr. Frederick Joseph",male,42,3rd,S,England,2144,46.18,0,3,
"Goodwin, Mrs. Augusta",female,43,3rd,S,England,2144,46.18,0,3,
"Gracie, Colonel. Archibald",male,53,1st,S,United States,113780,28.1,1,1,
"Graham, Miss. Margaret Edith",female,19,1st,S,England,17582,153.0903,1,1,
"Graham, Mr. George Edward",male,38,1st,S,Canada,112053,30,0,1,
"Graham, Mrs. Edith",female,59,1st,S,England,17582,153.0903,1,1,
"Greenberg, Mr. Samuel",male,52,2nd,S,South Africa,250647,13,0,2,
"Greenfield, Mrs. Blanche",female,45,1st,C,United States,17759,63.0702,1,1,
"Greenfield, Mr. William Bertram",male,23,1st,C,United States,17759,63.0702,1,1,
"Green, Mr. George",male,20,engineering crew,S,England,,,0,,engineering crew
"Green, Mr. George",male,41,3rd,S,England,21440,8.01,0,3,
"Grønnestad, Mr. Daniel Danielsen",male,32,3rd,S,Norway,8471,8.0615,0,3,
"Guest, Mr. Charles Robert",male,25,3rd,S,England,376563,8.01,0,3,
"Guggenheim, Mr. Benjamin",male,46,1st,C,France,17593,79.04,0,1,
"Gustafsson, Mr. Alfred Ossian",male,19,3rd,S,Finland,7534,9.1611,0,3,
"Gustafsson, Mr. Anders Vilhelm",male,37,3rd,S,Finland,3101276,7.1806,0,3,
"Gustafsson, Mr. Johan Birger",male,28,3rd,S,Finland,3101277,7.1806,0,3,
"Gustafsson, Mr. Karl Gideon",male,19,3rd,S,Sweden,347069,7.1506,0,3,
"Haas, Miss. Aloisia",female,24,3rd,S,Switzerland,349236,8.17,0,3,
"Hagland, Mr. Ingvald Olai Olsen",male,28,3rd,S,Norway,65303,6.1904,0,3,
"Hagland, Mr. Konrad Mathias Reiersen",male,19,3rd,S,Norway,65304,6.1904,0,3,
"Hakkarainen, Mr. Pekka Pietari",male,28,3rd,S,Finland,3101279,15.17,0,3,
"Hakkarainen, Mrs. Elin Matilda",female,24,3rd,S,Finland,3101279,15.17,1,3,
"Hale, Mr. Reginald",male,30,2nd,S,England,250653,13,0,2,
"Hämäläinen, Master. Viljo Unto Johannes",male,0.583333333,2nd,S,United States,250649,14.1,1,2,
"Hämäläinen, Mrs. Anna",female,23,2nd,S,United States,250649,14.1,1,2,
"Hampe, Mr. Léon Jérome",male,19,3rd,S,Belgium,345769,9.1,0,3,
"Hannah, Mr. Borak",male,27,3rd,C,Lebanon,2663,7.0407,1,3,
"Hanna, Mr. Boulos",male,18,3rd,C,Lebanon,2664,7.0406,0,3,
"Hanna, Mr. Mansour",male,35,3rd,C,Lebanon,2693,7.0407,0,3,
"Hansen, Mr. Claus Peter",male,41,3rd,S,United States,350026,14.0202,0,3,
"Hansen, Mr. Henrik Juul",male,26,3rd,S,Denmark,350025,7.1701,0,3,
"Hansen, Mr. Henry Damsgaard",male,21,3rd,S,Denmark,350029,7.1701,0,3,
"Hansen, Mrs. Jennie Louise",female,45,3rd,S,United States,350026,14.0202,1,3,
"Harbeck, Mr. William H.",male,45,2nd,S,United States,248746,13,0,2,
"Harder, Mr. George Achilles",male,25,1st,C,United States,11765,55.081,1,1,
"Harder, Mrs. Dorothy",female,21,1st,C,United States,11765,55.081,1,1,
"Hargadon, Miss. Catherine",female,17,3rd,Q,Ireland,30631,7.1408,0,3,
"Harknett, Miss. Alice Phoebe",female,21,3rd,S,England,6609,7.11,0,3,
"Harper, Miss. Annie Jessie",female,6,2nd,S,Scotland,248727,33,1,2,
"Harper, Mr. Henry Sleeper",male,48,1st,C,United States,17572,76.1407,1,1,
"Harper, Mrs. Myra Raymond",female,49,1st,C,United States,17572,76.1407,1,1,
"Harper, Rev. John",male,39,2nd,S,Scotland,248727,33,0,2,
"Harrington, Mr. Charles Henry",male,37,1st,S,England,113796,42.08,0,1,
"Harris, Mr. George",male,62,2nd,S,England,752,10.1,1,2,
"Harris, Mr. Henry Birkhardt",male,45,1st,S,United States,36973,83.0906,0,1,
"Harris, Mrs. Irene",female,35,1st,S,United States,36973,83.0906,1,1,
"Harris, Mr. Walter",male,45,2nd,S,England,14208,10.1,0,2,
"Harrison, Mr. William Henry",male,46,1st,S,England,112059,,0,1,
"Hartley, Mr. Wallace Henry",male,33,2nd,S,England,250654,,0,2,
"Hart, Miss. Eva Miriam",female,7,2nd,S,England,13529,26.05,1,2,
"Hart, Mr. Benjamin",male,47,2nd,S,England,13529,26.05,0,2,
"Hart, Mr. Henry",male,29,3rd,Q,Ireland,394140,6.1702,0,3,
"Hart, Mrs. Esther Ada",female,48,2nd,S,England,13529,26.05,1,2,
"Hassab, Mr. Hammad",male,27,1st,C,Egypt,17572,76.1407,1,1,
"Hawksford, Mr. Walter James",male,45,1st,S,England,16988,30,1,1,
"Hays, Miss. Margaret Bechstein",female,24,1st,C,United States,11767,83.0302,1,1,
"Hays, Mr. Charles Melville",male,55,1st,S,Canada,12749,93.1,0,1,
"Hays, Mrs. Clara Jennings",female,52,1st,S,Canada,12749,93.1,1,1,
"Head, Mr. Christopher",male,42,1st,S,England,113038,42.1,0,1,
"Healy, Miss. Honor",female,33,3rd,Q,Ireland,370375,7.15,1,3,
"Hedman, Mr. Oskar Arvid",male,27,3rd,S,Sweden,347089,6.1906,1,3,
"Hee, Mr. Ling",male,24,3rd,S,,1601,56.0911,1,3,
"Hegarty, Miss. Hanora",female,20,3rd,Q,Ireland,365226,6.15,0,3,
"Heikkinen, Miss. Laina",female,16,3rd,S,Finland,3101282,7.1806,1,3,
"Heininen, Miss. Wendla Maria",female,23,3rd,S,Finland,3101290,7.1806,0,3,
"Hellström, Miss. Hilda Maria",female,22,3rd,S,Sweden,7548,8.1903,1,3,
"Hendekovic, Mr. Ignjac",male,30,3rd,S,Hungary,349243,7.1711,0,3,
"Henriksson, Miss. Jenny Lovisa",female,28,3rd,S,Sweden,347086,7.1506,0,3,
"Henry, Miss. Bridget Delia",female,21,3rd,Q,Ireland,382649,7.15,0,3,
"Herman, Miss. Alice",female,24,2nd,S,England,220845,65,1,2,
"Herman, Miss. Kate",female,24,2nd,S,England,220845,65,1,2,
"Herman, Mr. Samuel",male,50,2nd,S,England,220845,65,0,2,
"Herman, Mrs. Jane",female,50,2nd,S,India,220845,65,1,2,
"Hewlett, Mrs. Mary Dunbar",female,56,2nd,S,India,248706,16,1,2,
"Hickman, Mr. Leonard Mark",male,24,2nd,S,England,14879,73.1,0,2,
"Hickman, Mr. Lewis",male,30,2nd,S,England,14879,73.1,0,2,
"Hickman, Mr. Stanley George",male,21,2nd,S,England,14879,73.1,0,2,
"Hilliard, Mr. Herbert Henry",male,44,1st,S,England,17463,51.1703,0,1,
"Hiltunen, Miss. Marta",female,18,2nd,S,Finland,250650,13,0,2,
"Hipkins, Mr. William Edward",male,55,1st,S,England,680,50,0,1,
"Hippach, Miss. Jean Gertrude",female,17,1st,C,United States,111361,57.1907,1,1,
"Hippach, Mrs. Ida Sophia",female,44,1st,C,United States,111361,57.1907,1,1,
"Hirvonen, Miss. Hildur Elisabeth",female,2,3rd,S,Finland,3101298,12.0509,1,3,
"Hirvonen, Mrs. Helga Elisabeth Lindqvist",female,22,3rd,S,Finland,3101298,12.0509,1,3,
"Hocking, Miss. Ellen",female,20,2nd,S,England,29105,23,1,2,
"Hocking, Mr. Richard George",male,24,2nd,S,England,29104,11.1,0,2,
"Hocking, Mr. Samuel James Metcalfe",male,36,2nd,S,England,242963,13,0,2,
"Hocking, Mrs. Eliza",female,54,2nd,S,England,29105,23,1,2,
"Hodges, Mr. Henry Price",male,50,2nd,S,England,250643,13,0,2,
"Hogeboom, Mrs. Anna Louisa",female,51,1st,C,United States,13502,77.1902,1,1,
"Hold, Mrs. Annie Margaret",female,29,2nd,S,England,26707,26,1,2,
"Hold, Mr. Stephen",male,44,2nd,S,England,26707,26,0,2,
"Holm, Mr. John Fredrik Alexander",male,43,3rd,S,Sweden,7075,6.09,0,3,
"Holthen, Mr. Johan Martin",male,18,3rd,S,Norway,4001,22.1006,0,3,
"Holverson, Mr. Alexander Oskar",male,42,1st,S,United States,113789,52,0,1,
"Holverson, Mrs. Mary Aline",female,35,1st,S,United States,113789,52,1,1,
"Homer, Mr. Harry",male,40,1st,S,United States,111426,26.11,1,1,
"Honkanen, Miss. Eliina",female,27,3rd,S,Finland,3101283,7.1806,1,3,
"Hood, Mr. Ambrose Jr",male,21,2nd,S,England,14879,73.1,0,2,
"Horgan, Mr. John",male,22,3rd,Q,,370377,7.15,0,3,
"Hosono, Mr. Masabumi",male,41,2nd,S,Japan,237798,13,1,2,
"Howard, Miss. May Elizabeth",female,26,3rd,S,England,39186,8.01,1,3,
"Howard, Mr. Benjamin",male,63,2nd,S,England,24065,26,0,2,
"Howard, Mrs. Ellen Truelove",female,61,2nd,S,England,24065,26,0,2,
"Hoyt, Mr. Frederick Maxfield",male,38,1st,S,United States,19943,100,1,1,
"Hoyt, Mrs. Jane Anne",female,31,1st,S,United States,19943,100,1,1,
"Hoyt, Mr. William Fisher",male,43,1st,C,United States,17600,30.1311,0,1,
"Humblen, Mr. Adolf Mathias Nicolai Olsen",male,42,3rd,S,Norway,348121,7.13,0,3,
"Hume, Mr. John Law",male,21,2nd,S,,250654,,0,2,
"Hunt, Mr. George Henry",male,34,2nd,S,England,1585,12.0506,0,2,
"Hyman, Mr. Abraham Joseph",male,34,3rd,S,England,3470,7.1709,1,3,
"Ibrāhīm, Mr. Husayn Mahmūd Husayn",male,11,3rd,C,,2699,18.1509,0,3,
"Ibrāhīm, Mrs. Sāfiyah",female,18,3rd,C,Syria,2657,7.0407,1,3,
"Ibrahim Shawah, Mr. Yousseff",male,33,3rd,C,Lebanon,2627,14.0902,0,3,
"Icard, Miss. Rose Amélie",female,39,1st,S,,113572,80,1,1,
"Ilett, Miss. Bertha",female,17,2nd,S,Channel Islands,14885,10.1,1,2,
"Ilieff, Mr. Ylio",male,32,3rd,S,,349220,7.1711,0,3,
"Ilmakangas, Miss. Ida Livija",female,17,3rd,S,United States,3101270,7.1806,0,3,
"Ilmakangas, Miss. Pieta Sofia",female,25,3rd,S,Finland,3101271,7.1806,0,3,
"Isham, Miss. Ann Elizabeth",female,50,1st,C,United States,17595,28.1403,0,1,
"Ismay, Mr. Joseph Bruce",male,49,1st,S,England,112058,,1,1,
"Ivanoff, Mr. Kanio",male,20,3rd,S,Bulgaria,349201,7.1711,0,3,
"Jabbur (Zabour), Miss. Hileni",female,16,3rd,C,,2665,14.0901,0,3,
"Jabbur (Zabour), Miss. Thamine",female,19,3rd,C,,2665,14.0901,0,3,
"Jacobsohn, Mrs. Amy Frances Christy",female,24,2nd,S,England,243847,27,1,2,
"Jacobsohn, Mr. Sidney Samuel",male,42,2nd,S,South Africa,243847,27,0,2,
"Jalševac, Mr. Ivan",male,30,3rd,C,Croatia (Modern),349240,7.1711,1,3,
"Jansson, Mr. Carl Olof",male,21,3rd,S,Sweden,350034,7.1511,1,3,
"Jardim, Mr. José Neto",male,21,3rd,S,,3101305,7.01,0,3,
"Jarvis, Mr. Denzil John",male,46,2nd,S,Wales,237565,15,0,2,
"Jefferys, Mr. Clifford Thomas",male,24,2nd,S,England,31029,31.1,0,2,
"Jefferys, Mr. Ernest Wilfred",male,21,2nd,S,England,31029,31.1,0,2,
"Jenkin, Mr. Stephen Curnow",male,32,2nd,S,England,33111,10.1,0,2,
"Jensen, Mr. Hans Peder",male,20,3rd,S,Denmark,350050,7.1701,0,3,
"Jensen, Mr. Niels Rasmus",male,48,3rd,S,Denmark,350048,7.0101,0,3,
"Jensen, Mr. Svend Lauritz",male,17,3rd,S,Denmark,350047,7.1701,0,3,
"Jermyn, Miss. Annie Jane",female,26,3rd,Q,Ireland,14313,7.15,1,3,
"Jerwan, Mrs. Marie Marthe",female,23,2nd,C,United States,541,13.151,1,2,
"Johannesen, Mr. Bernt Johannes",male,29,3rd,S,Norway,65306,8.0203,1,3,
"Johanson, Mr. Jakob Alfred",male,34,3rd,S,Finland,3101264,6.0911,0,3,
"Johansson, Mr. Erik",male,22,3rd,S,Sweden,350052,7.1511,0,3,
"Johansson, Mr. Gustaf Joel",male,33,3rd,S,Sweden,7540,8.1301,0,3,
"Johansson, Mr. Karl Johan",male,31,3rd,S,United States,347063,7.1506,0,3,
"Johansson, Mr. Nils",male,29,3rd,S,United States,347467,7.1701,0,3,
"Johansson Palmquist, Mr. Oskar Leander",male,26,3rd,S,Sweden,347070,7.1506,1,3,
"Johnson, Master. Harold Theodor",male,4,3rd,S,,347742,11.0208,1,3,
"Johnson, Miss. Eleanor Ileen",female,1,3rd,S,,347742,11.0208,1,3,
"Johnson, Mr. August",male,49,3rd,S,United States,370160,,0,3,
"Johnson, Mr. Malkolm Joackim",male,33,3rd,S,United States,347062,7.1506,0,3,
"Johnson, Mrs. Elisabeth Vilhelmina",female,26,3rd,S,,347742,11.0208,1,3,
"Johnson, Mr. William Cahoone Jr.",male,19,3rd,S,United States,370160,,0,3,
"Johnston, Master. William Andrew",male,8,3rd,S,England,6607,23.09,0,3,
"Johnston, Miss. Catherine Nellie",female,7,3rd,S,England,6607,23.09,0,3,
"Johnston, Mr. Andrew Emslie",male,35,3rd,S,Scotland,6607,23.09,0,3,
"Johnston, Mrs. Eliza",female,36,3rd,S,Scotland,6607,23.09,0,3,
"Jones, Mr. Charles Cresson",male,46,1st,S,United States,694,26,0,1,
"Jonkoff, Mr. Lalio",male,23,3rd,S,Bulgaria,349204,7.1711,0,3,
"Jonsson, Mr. Carl",male,25,3rd,S,Sweden,350417,7.1701,1,3,
"Jönsson, Mr. Nils Hilding",male,27,3rd,S,Sweden,350408,7.1701,0,3,
"Joseph (Shahin), Mr. Elias",male,39,3rd,C,Lebanon,2675,7.0407,0,3,
"Julian, Mr. Henry Forbes",male,50,1st,S,England,113044,26,0,1,
"Jussila, Miss. Katriina",female,20,3rd,S,Finland,4136,9.161,0,3,
"Jussila, Miss. Mari Aina",female,21,3rd,S,Finland,4137,9.161,0,3,
"Jussila, Mr. Eiriik",male,32,3rd,S,Finland,3101286,7.1806,1,3,
"Kallio, Mr. Nikolai Erland",male,17,3rd,S,Finland,3101274,7.0206,0,3,
"Kalvik, Mr. Johannes Halvorsen",male,21,3rd,S,Norway,8475,8.0808,0,3,
"Kantor, Mr. Sinai",male,34,2nd,S,Russia,244367,26,0,2,
"Kantor, Mrs. Miriam",female,24,2nd,S,Russia,244367,26,1,2,
"Karajic, Mr. Milan",male,30,3rd,S,Hungary,349246,7.1711,0,3,
"Karlsson, Mr. Einar Gervasius",male,21,3rd,S,Sweden,350053,7.1511,1,3,
"Karlsson, Mr. Julius Konrad Eugen",male,33,3rd,S,Sweden,347465,7.1701,0,3,
"Karlsson, Mr. Nils August",male,22,3rd,S,Sweden,350060,7.1005,0,3,
"Karnes, Mrs. Claire",female,22,2nd,S,United States,13534,21,0,2,
"Karun, Miss. Manca",female,5,3rd,C,Slovenia,349256,13.0804,1,3,
"Karun, Mr. Franz",male,39,3rd,C,United States,349256,13.0804,1,3,
"Katavelos, Mr. Vasilios G.",male,19,3rd,C,Greece,2682,7.0407,0,3,
"Keane, Miss. Nora Agnes",female,46,2nd,Q,Ireland,226593,12.07,1,2,
"Keane, Mr. Andrew",male,23,3rd,Q,Ireland,12460,7.15,0,3,
"Keane, Mr. Daniel",male,35,2nd,Q,Ireland,233734,12.07,0,2,
"Keefe, Mr. Arthur",male,39,3rd,S,United States,323592,7.05,0,3,
"Keeping, Mr. Edwin Herbert",male,33,1st,S,England,113503,211.1,0,1,
"Kelly, Miss. Anna Katherine",female,20,3rd,Q,Ireland,9234,7.15,1,3,
"Kelly, Miss. Mary",female,22,3rd,Q,Ireland,14312,7.15,1,3,
"Kelly, Mr. James",male,19,3rd,S,Scotland,363592,8.01,0,3,
